Var1,Var2,Var3,Var4,Var5,Var6,Var7
LSP01_Ssn006_Set004_Blk001_Trl030,5,17,6000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl031,6,21,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl001,1,1,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl002,1,1,2000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl003,1,1,3000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl004,1,1,4000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl005,1,1,5000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl006,1,1,6000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl007,2,5,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl008,2,5,2000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl009,2,5,3000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl010,2,5,4000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl011,2,5,5000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl012,2,5,6000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl013,3,9,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl014,3,9,2000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl015,3,9,3000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl016,3,9,4000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl017,3,9,5000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl018,3,9,6000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl019,4,13,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl020,4,13,2000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl021,4,13,3000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl022,4,13,4000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl023,4,13,5000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl024,4,13,6000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl025,5,17,1000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl026,5,17,2000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl027,5,17,3000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl028,5,17,4000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl029,5,17,5000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl030,5,17,6000,0.2,1000,50
LSP01_Ssn006_Set006_Blk001_Trl031,6,21,1000,0.2,1000,50
LSP01_Ssn006_Set007_Blk001_Trl032,6,21,2000,0.2,1000,50
LSP01_Ssn006_Set007_Blk001_Trl033,6,21,4000,0.2,1000,50
LSP01_Ssn006_Set007_Blk001_Trl034,0,0,0,0,0,0
LSP01_Ssn006_Set007_Blk001_Trl035,6,21,5000,0.2,1000,50
LSP01_Ssn006_Set007_Blk001_Trl036,6,21,6000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl001,33,65,500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl002,33,65,1000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl003,33,65,1500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl004,33,65,2000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl005,33,65,2500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl006,33,65,3000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl007,33,65,3500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl008,33,65,4000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl009,33,65,4500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl010,33,65,5000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl011,33,65,5500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl012,33,65,6000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl013,34,69,500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl014,34,69,1000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl015,34,69,1500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl016,34,69,2000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl017,34,69,2500,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl018,34,69,3000,0.2,1000,50
LSP01_Ssn006_Set008_Blk001_Trl019,34,69,3500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl001,33,65,500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl002,33,65,1000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl003,33,65,2000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl004,0,0,0,0,0,0
LSP01_Ssn006_Set009_Blk001_Trl005,33,65,2500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl006,33,65,3000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl007,33,65,3500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl008,33,65,4000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl009,33,65,4500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl010,33,65,5000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl011,33,65,6000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl012,0,0,0,0,0,0
LSP01_Ssn006_Set009_Blk001_Trl013,34,69,500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl014,34,69,1000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl015,34,69,1500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl016,34,69,2500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl017,0,0,0,0,0,0
LSP01_Ssn006_Set009_Blk001_Trl018,34,69,3000,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl019,34,69,3500,0.2,1000,50
LSP01_Ssn006_Set009_Blk001_Trl020,34,69,4000,0.2,1000,50
LSP01_Ssn006_Set010_Blk001_Trl021,34,69,4500,0.2,1000,50
LSP01_Ssn006_Set010_Blk001_Trl022,34,69,5000,0.2,1000,50
LSP01_Ssn006_Set010_Blk001_Trl023,34,69,5500,0.2,1000,50
LSP01_Ssn006_Set010_Blk001_Trl024,34,69,6000,0.2,1000,50
LSP01_Ssn006_Set011_Blk001_Trl001,33,65,1000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl002,33,65,2000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl003,33,65,3000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl004,33,65,4000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl005,33,65,5000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl006,33,65,6000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl007,34,69,1000,0.5,1000,50
LSP01_Ssn006_Set011_Blk001_Trl008,34,69,2000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl009,34,69,3000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl010,34,69,4000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl011,34,69,6000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl012,0,0,0,0,0,0
LSP01_Ssn006_Set012_Blk001_Trl013,35,73,1000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl014,35,73,2000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl015,35,73,3000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl016,35,73,4000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl017,35,73,5000,0.5,1000,50
LSP01_Ssn006_Set012_Blk001_Trl018,35,73,6000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl019,36,77,1000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl020,36,77,2000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl021,36,77,3000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl022,36,77,4000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl023,36,77,6000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl024,0,0,0,0,0,0
LSP01_Ssn006_Set013_Blk001_Trl025,37,81,1000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl026,37,81,2000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl027,37,81,3000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl028,37,81,5000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl029,0,0,0,0,0,0
LSP01_Ssn006_Set013_Blk001_Trl030,37,81,6000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl031,38,85,1000,0.5,1000,50
LSP01_Ssn006_Set013_Blk001_Trl032,38,85,2000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl033,38,85,3000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl034,38,85,4000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl035,38,85,5000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl036,38,85,6000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl037,39,89,1000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl038,39,89,2000,0.5,1000,50
LSP01_Ssn006_Set014_Blk001_Trl039,39,89,3000,0.5,1000,50
LSP01_Ssn006_Set015_Blk001_Trl039,39,89,3000,0.5,1000,50
LSP01_Ssn006_Set015_Blk001_Trl040,39,89,4000,0.5,1000,50
LSP01_Ssn006_Set015_Blk001_Trl041,39,89,5000,0.5,1000,50
LSP01_Ssn006_Set016_Blk001_Trl042,39,89,6000,0.5,1000,50
LSP01_Ssn006_Set016_Blk001_Trl043,40,93,1000,0.5,1000,50
LSP01_Ssn006_Set017_Blk001_Trl044,40,93,2000,0.5,1000,50
LSP01_Ssn006_Set017_Blk001_Trl045,40,93,3000,0.5,1000,50
LSP01_Ssn006_Set017_Blk001_Trl046,40,93,4000,0.5,1000,50
LSP01_Ssn006_Set017_Blk001_Trl047,40,93,5000,0.5,1000,50
LSP01_Ssn006_Set017_Blk001_Trl048,40,93,6000,0.5,1000,50
LSP01_Ssn006_Set018_Blk001_Trl001,17,33,1000,0.2,1000,50
LSP01_Ssn006_Set018_Blk001_Trl002,17,33,3000,0.2,1000,50
LSP01_Ssn006_Set018_Blk001_Trl003,0,0,0,0,0,0
LSP01_Ssn006_Set018_Blk001_Trl004,17,33,4000,0.2,1000,50
LSP01_Ssn006_Set018_Blk001_Trl005,17,33,5000,0.2,1000,50
LSP01_Ssn006_Set018_Blk001_Trl006,17,33,6000,0.2,1000,50
LSP01_Ssn006_Set018_Blk001_Trl007,18,37,1000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl008,18,37,2000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl009,18,37,3000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl010,18,37,4000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl011,18,37,5000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl012,18,37,6000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl013,19,41,1000,0.2,1000,50
LSP01_Ssn006_Set019_Blk001_Trl014,19,41,2000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl015,19,41,3000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl016,19,41,4000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl017,19,41,5000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl018,19,41,6000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl019,20,45,1000,0.2,1000,50
LSP01_Ssn006_Set020_Blk001_Trl020,20,45,2000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl021,20,45,3000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl022,20,45,4000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl023,20,45,5000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl024,20,45,6000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl025,21,49,1000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl026,21,49,2000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl027,21,49,3000,0.2,1000,50
LSP01_Ssn006_Set021_Blk001_Trl028,21,49,4000,0.2,1000,50
LSP01_Ssn006_Set022_Blk001_Trl029,21,49,5000,0.2,1000,50
LSP01_Ssn006_Set022_Blk001_Trl030,21,49,6000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl031,22,53,1000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl032,22,53,2000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl033,22,53,3000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl034,22,53,5000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl035,0,0,0,0,0,0
LSP01_Ssn006_Set023_Blk001_Trl036,23,57,1000,0.2,1000,50
LSP01_Ssn006_Set023_Blk001_Trl037,0,0,0,0,0,0
LSP01_Ssn006_Set023_Blk001_Trl038,23,57,2000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl039,23,57,3000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl040,23,57,4000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl041,23,57,6000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl042,0,0,0,0,0,0
LSP01_Ssn006_Set024_Blk001_Trl043,24,61,2000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl044,0,0,0,0,0,0
LSP01_Ssn006_Set024_Blk001_Trl045,24,61,3000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl046,24,61,4000,0.2,1000,50
LSP01_Ssn006_Set024_Blk001_Trl048375068880(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl001375068881(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl002375068882(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl003375068883(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl004375068884(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl005375068885(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl006375068886(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl007375068887(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl008375068888(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl009375068889(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl010375068890(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl011375068891(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl012375068892(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl013375068893(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl014375068894(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl015375068895(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl016375068896(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl017375068897(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl018375068898(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl019375068899(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl020375068900(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl021375068901(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl022375068902(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl023375068903(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl024375068904(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl025375068905(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl026375068906(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl027375068907(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl028375068908(1),0,0,0,0,0,0
LSP01_Ssn006_Set025_Blk001_Trl029375068909(1),0,0,0,0,0,0
LSP01_Ssn006_Set026_Blk001_Trl029,21,49,5000,0.5,1000,50
LSP01_Ssn006_Set026_Blk001_Trl030,21,49,6000,0.5,1000,50
LSP01_Ssn006_Set026_Blk001_Trl031,22,53,1000,0.5,1000,50
LSP01_Ssn006_Set026_Blk001_Trl032,22,53,2000,0.5,1000,50
LSP01_Ssn006_Set026_Blk001_Trl033,22,53,3000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl034,22,53,4000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl035,22,53,5000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl036,22,53,6000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl037,23,57,1000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl038,23,57,2000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl039,23,57,3000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl040,23,57,4000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl041,23,57,5000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl042,23,57,6000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl043,24,61,1000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl044,24,61,2000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl045,24,61,3000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl046,24,61,4000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl047,24,61,5000,0.5,1000,50
LSP01_Ssn006_Set027_Blk001_Trl048,24,61,6000,0.5,1000,50
